Restaurant ID,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Votes
6317637,Le Petit Souffle,Makati City,121.027535,14.565443,"French, Japanese, Desserts",1100,3,4.8,314
6304287,Izakaya Kikufuji,Makati City,121.014101,14.553708,Japanese,1200,3,4.5,591
